Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
1761233100000.0,109618.1,109799.8,109552.9,109756.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761233400000.0,109756.5,110087.5,109755.1,110035.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761233700000.0,110035.2,110086.9,109755.4,109852.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761234000000.0,109852.9,109962.8,109584.3,109681.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761234300000.0,109681.1,109894.6,109643.2,109866.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761234600000.0,109866.4,110038.2,109816.2,109956.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761234900000.0,109956.3,110030.0,109852.8,109877.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761235200000.0,109877.6,110023.6,109841.6,110004.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761235500000.0,110004.4,110045.0,109759.0,109818.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761235800000.0,109818.2,110038.3,109728.6,109972.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761236100000.0,109972.5,110089.5,109904.9,109917.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761236400000.0,109917.9,109997.3,109878.8,109886.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761236700000.0,109886.0,109954.0,109745.5,109793.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761237000000.0,109793.6,109898.8,109778.7,109828.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761237300000.0,109828.2,109831.3,109605.8,109627.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761237600000.0,109627.7,109844.5,109627.7,109800.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761237900000.0,109800.2,109938.7,109788.5,109929.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761238200000.0,109929.5,110643.5,109921.3,110536.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761238500000.0,110536.1,110553.5,110206.4,110232.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761238800000.0,110232.5,110267.1,109867.5,109922.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761239100000.0,109922.0,110029.2,109622.7,109854.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761239400000.0,109854.7,109978.4,109799.8,109915.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761239700000.0,109915.9,110143.6,109876.8,110106.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761240000000.0,110106.7,110137.5,109982.8,110097.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761240300000.0,110097.1,110188.3,109977.3,110182.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761240600000.0,110182.9,110343.0,110081.2,110342.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761240900000.0,110342.8,110937.6,110326.5,110882.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761241200000.0,110882.9,110993.1,110608.0,110717.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761241500000.0,110717.1,111225.2,110712.7,111148.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761241800000.0,111148.2,111236.6,110968.9,111060.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761242100000.0,111060.1,111294.6,111047.2,111223.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761242400000.0,111223.4,111279.2,111089.7,111142.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761242700000.0,111142.2,111211.0,110901.9,110901.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761243000000.0,110901.9,111120.0,110729.5,110763.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761243300000.0,110763.6,110905.1,110719.0,110843.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761243600000.0,110843.8,110885.3,110500.0,110553.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761243900000.0,110553.7,110667.9,110483.9,110498.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761244200000.0,110498.9,110559.7,110350.5,110514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761244500000.0,110514.0,110516.7,110370.5,110383.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761244800000.0,110383.2,110515.2,110372.6,110504.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761245100000.0,110504.3,110532.0,110226.3,110314.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761245400000.0,110314.9,110557.3,110272.7,110527.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761245700000.0,110527.5,110607.6,110467.8,110548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761246000000.0,110548.0,110609.6,110067.5,110093.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761246300000.0,110093.5,110308.7,110078.3,110276.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761246600000.0,110276.5,110363.7,110271.1,110331.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761246900000.0,110331.3,110332.3,110169.4,110194.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761247200000.0,110194.5,110467.7,110193.6,110451.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761247500000.0,110451.4,110556.7,110441.0,110517.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761247800000.0,110517.3,110523.1,110320.2,110344.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761248100000.0,110344.5,110406.0,110276.7,110405.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761248400000.0,110405.7,110439.5,110318.9,110325.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761248700000.0,110325.5,110533.3,110320.1,110520.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761249000000.0,110520.7,110520.7,110228.9,110310.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761249300000.0,110310.9,110310.9,110168.6,110174.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761249600000.0,110174.1,110186.4,109779.8,109978.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761249900000.0,109978.5,110096.1,109912.2,109989.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761250200000.0,109989.8,110029.9,109746.8,109883.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761250500000.0,109883.0,109947.5,109838.3,109937.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761250800000.0,109937.3,110011.6,109905.9,109912.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761251100000.0,109912.1,109960.3,109846.1,109944.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761251400000.0,109944.3,110038.6,109919.7,110034.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761251700000.0,110034.3,110042.1,109827.8,109827.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761252000000.0,109827.8,109873.8,109768.1,109866.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761252300000.0,109866.4,109867.1,109720.7,109755.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761252600000.0,109755.3,109881.4,109742.0,109818.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761252900000.0,109818.7,109841.3,109343.6,109504.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761253200000.0,109504.9,109652.3,109369.1,109637.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761253500000.0,109637.2,109687.0,109568.7,109633.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761253800000.0,109633.1,109697.7,109538.2,109697.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761254100000.0,109697.7,109697.7,109560.3,109658.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761254400000.0,109658.0,109671.7,109557.2,109666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761254700000.0,109666.0,109708.1,109611.2,109633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761255000000.0,109633.0,109634.2,109477.3,109478.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761255300000.0,109478.8,109486.3,109429.7,109474.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761255600000.0,109474.8,109665.6,109346.5,109465.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761255900000.0,109465.2,109597.6,109458.2,109563.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761256200000.0,109563.2,109611.8,109495.3,109505.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761256500000.0,109505.6,109545.5,109458.8,109539.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761256800000.0,109539.6,109693.5,109496.3,109670.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761257100000.0,109670.2,109990.5,109659.1,109899.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761257400000.0,109899.5,109945.1,109780.0,109855.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761257700000.0,109855.6,109900.7,109809.1,109842.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761258000000.0,109842.6,109843.1,109761.9,109796.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761258300000.0,109796.2,109979.8,109796.1,109968.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761258600000.0,109968.2,110154.2,109965.6,110056.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761258900000.0,110056.9,110089.7,109989.9,110077.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761259200000.0,110077.2,110080.0,109927.8,109987.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761259500000.0,109987.8,110032.2,109824.4,109876.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761259800000.0,109876.3,109987.9,109867.1,109930.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761260100000.0,109930.6,109968.5,109897.2,109903.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761260400000.0,109903.2,109921.6,109831.6,109867.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761260700000.0,109867.6,109873.0,109796.4,109839.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
